neighborhood,tract,block_group,weight,geoid
Amity,141200,1,1,090091412001
Amity,141200,2,1,090091412002
Amity,141200,3,1,090091412003
Amity,141200,4,1,090091412004
Annex,142700,1,1,090091427001
Annex,142700,2,1,090091427002
Annex,142700,3,1,090091427003
Annex,142700,4,1,090091427004
Beaver Hills,141300,2,1,090091413002
Beaver Hills,141400,1,1,090091414001
Beaver Hills,141400,2,1,090091414002
Beaver Hills,141400,3,1,090091414003
Beaver Hills,141400,4,1,090091414004
Dixwell,141600,1,1,090091416001
Dixwell,141600,2,1,090091416002
Dixwell,141600,3,1,090091416003
Dixwell,141600,4,1,090091416004
Downtown,140100,1,1,090091401001
Downtown,142e3,2,0.5,090091420002
Downtown,142e3,3,0.41,090091420003
Downtown,361401,1,1,090093614011
Downtown,361401,2,1,090093614012
Downtown,361401,3,1,090093614013
Downtown,361402,1,1,090093614021
Downtown,361402,2,1,090093614022
Dwight,140700,1,1,090091407001
Dwight,140700,2,1,090091407002
Dwight,140700,3,1,090091407003
Dwight,140700,4,1,090091407004
Dwight,140700,5,1,090091407005
East Rock,141900,1,1,090091419001
East Rock,141900,2,1,090091419002
East Rock,141900,3,1,090091419003
East Rock,141900,4,1,090091419004
East Rock,141900,5,1,090091419005
East Rock,142e3,1,1,090091420001
East Rock,142e3,2,0.5,090091420002
East Rock,142e3,3,0.59,090091420003
East Rock,142400,1,0.51,090091424001
East Rock,142500,1,0.29,090091425001
East Shore,142800,1,1,090091428001
East Shore,142800,2,1,090091428002
East Shore,142800,3,1,090091428003
East Shore,142800,4,1,090091428004
East Shore,142800,5,1,090091428005
Edgewood,140900,1,1,090091409001
Edgewood,140900,2,1,090091409002
Edgewood,140900,3,1,090091409003
Edgewood,140900,4,1,090091409004
Edgewood,140900,5,1,090091409005
Fair Haven,142300,1,1,090091423001
Fair Haven,142300,2,1,090091423002
Fair Haven,142300,3,1,090091423003
Fair Haven,142300,4,1,090091423004
Fair Haven,142400,1,0.49,090091424001
Fair Haven,142400,2,1,090091424002
Fair Haven,142400,3,1,090091424003
Fair Haven,142400,4,1,090091424004
Fair Haven,142500,1,0.71,090091425001
Fair Haven,142500,2,1,090091425002
Fair Haven,142500,3,1,090091425003
Fair Haven,142500,4,1,090091425004
Fair Haven,142500,5,1,090091425005
Fair Haven Heights,142603,1,1,090091426031
Fair Haven Heights,142603,2,1,090091426032
Fair Haven Heights,142604,1,1,090091426041
Fair Haven Heights,142604,2,1,090091426042
Hill,140200,1,1,090091402001
Hill,140300,1,1,090091403001
Hill,140300,2,1,090091403002
Hill,140400,1,1,090091404001
Hill,140400,2,1,090091404002
Hill,140500,1,1,090091405001
Hill,140500,2,1,090091405002
Hill,140500,3,1,090091405003
Hill,140600,1,1,090091406001
Hill,140600,2,1,090091406002
Hill,140600,3,1,090091406003
Hill,140600,4,1,090091406004
Hill,140600,5,1,090091406005
Newhallville,141500,1,1,090091415001
Newhallville,141500,2,1,090091415002
Newhallville,141500,3,1,090091415003
Newhallville,141500,4,1,090091415004
Newhallville,141500,5,1,090091415005
Newhallville,141500,6,1,090091415006
Newhallville,141500,7,1,090091415007
Prospect Hill,141800,1,1,090091418001
Prospect Hill,141800,2,1,090091418002
Prospect Hill,141800,3,1,090091418003
Prospect Hill,141800,4,1,090091418004
Quinnipiac Meadows,142601,1,1,090091426011
Quinnipiac Meadows,142601,2,1,090091426012
Quinnipiac Meadows,142601,3,1,090091426013
Quinnipiac Meadows,142601,4,1,090091426014
West River,140800,1,1,090091408001
West River,140800,2,1,090091408002
West River,140800,3,1,090091408003
West River,140800,4,1,090091408004
West Rock,141300,1,1,090091413001
West Rock,141300,4,1,090091413004
Westville,141e3,1,1,090091410001
Westville,141e3,2,1,090091410002
Westville,141e3,3,1,090091410003
Westville,141100,1,1,090091411001
Westville,141100,2,1,090091411002
Westville,141300,3,1,090091413003
Wooster Square,142100,1,1,090091421001
Wooster Square,142200,1,1,090091422001
Wooster Square,142200,2,1,090091422002
