neighborhood,tract,weight,geoid
Amity,141200,1,09009141200
Annex,142700,1,09009142700
Beaver Hills,141400,1,09009141400
Dixwell,141600,1,09009141600
Downtown,140100,1,09009140100
Downtown,142e3,0.32,09009142000
Downtown,361401,1,09009361401
Downtown,361402,1,09009361402
Dwight,140700,1,09009140700
East Rock,141900,1,09009141900
East Rock,142e3,0.68,09009142000
East Rock,142400,0.14,09009142400
East Rock,142500,0.08,09009142500
East Shore,142800,1,09009142800
Edgewood,140900,1,09009140900
Fair Haven,142300,1,09009142300
Fair Haven,142400,0.86,09009142400
Fair Haven,142500,0.92,09009142500
Fair Haven Heights,142603,1,09009142603
Fair Haven Heights,142604,1,09009142604
Hill,140200,1,09009140200
Hill,140300,1,09009140300
Hill,140400,1,09009140400
Hill,140500,1,09009140500
Hill,140600,1,09009140600
Newhallville,141500,1,09009141500
Prospect Hill,141800,1,09009141800
Quinnipiac Meadows,142601,1,09009142601
West River,140800,1,09009140800
West Rock,141300,1,09009141300
Westville,141e3,1,09009141000
Westville,141100,1,09009141100
Wooster Square,142100,1,09009142100
Wooster Square,142200,1,09009142200
