town,region,county
Greenwich,Fairfield County,Fairfield County
Stamford,Fairfield County,Fairfield County
Darien,Fairfield County,Fairfield County
New Canaan,Fairfield County,Fairfield County
Norwalk,Fairfield County,Fairfield County
Wilton,Fairfield County,Fairfield County
Westport,Fairfield County,Fairfield County
Weston,Fairfield County,Fairfield County
Fairfield,Fairfield County,Fairfield County
Bridgeport,Fairfield County,Fairfield County
Stratford,Fairfield County,Fairfield County
Trumbull,Fairfield County,Fairfield County
Monroe,Fairfield County,Fairfield County
Easton,Fairfield County,Fairfield County
Shelton,Fairfield County,Fairfield County
Bethel,Fairfield County,Fairfield County
Brookfield,Fairfield County,Fairfield County
Danbury,Fairfield County,Fairfield County
Ridgefield,Fairfield County,Fairfield County
New Fairfield,Fairfield County,Fairfield County
Newtown,Fairfield County,Fairfield County
Redding,Fairfield County,Fairfield County
Sherman,Fairfield County,Fairfield County
Bridgewater,Litchfield County,Litchfield County
New Milford,Litchfield County,Litchfield County
North Canaan,Litchfield County,Litchfield County
Salisbury,Litchfield County,Litchfield County
Sharon,Litchfield County,Litchfield County
Cornwall,Litchfield County,Litchfield County
Warren,Litchfield County,Litchfield County
Kent,Litchfield County,Litchfield County
Washington,Litchfield County,Litchfield County
Roxbury,Litchfield County,Litchfield County
Barkhamsted,Litchfield County,Litchfield County
Colebrook,Litchfield County,Litchfield County
Goshen,Litchfield County,Litchfield County
Harwinton,Litchfield County,Litchfield County
Litchfield,Litchfield County,Litchfield County
Morris,Litchfield County,Litchfield County
New Hartford,Litchfield County,Litchfield County
Torrington,Litchfield County,Litchfield County
Winchester,Litchfield County,Litchfield County
Bethlehem,Litchfield County,Litchfield County
Thomaston,Litchfield County,Litchfield County
Watertown,Litchfield County,Litchfield County
Woodbury,Litchfield County,Litchfield County
Plymouth,Litchfield County,Litchfield County
Canaan,Litchfield County,Litchfield County
Norfolk,Litchfield County,Litchfield County
Middletown,Middlesex County,Middlesex County
East Hampton,Middlesex County,Middlesex County
Portland,Middlesex County,Middlesex County
Cromwell,Middlesex County,Middlesex County
Middlefield,Middlesex County,Middlesex County
Durham,Middlesex County,Middlesex County
Haddam,Middlesex County,Middlesex County
East Haddam,Middlesex County,Middlesex County
Chester,Middlesex County,Middlesex County
Clinton,Middlesex County,Middlesex County
Deep River,Middlesex County,Middlesex County
Essex,Middlesex County,Middlesex County
Killingworth,Middlesex County,Middlesex County
Old Saybrook,Middlesex County,Middlesex County
Westbrook,Middlesex County,Middlesex County
Lyme,New London County,New London County
Old Lyme,New London County,New London County
New London,New London County,New London County
Waterford,New London County,New London County
Montville,New London County,New London County
Norwich,New London County,New London County
Preston,New London County,New London County
Ledyard,New London County,New London County
Groton,New London County,New London County
Stonington,New London County,New London County
North Stonington,New London County,New London County
Voluntown,New London County,New London County
Griswold,New London County,New London County
Lisbon,New London County,New London County
Sprague,New London County,New London County
Franklin,New London County,New London County
Bozrah,New London County,New London County
Colchester,New London County,New London County
