zip,town_geoid,poppt,hupt,pct_zip_hh_in_town,pct_town_hh_in_zip,town
06001,0900302060,18081,7384,0.972,0.9993000000000001,Avon
06001,0900327600,294,209,0.0275,0.018799999999999997,Farmington
06001,0900368940,10,4,5e-4,4e-4,Simsbury
06002,0900305910,20486,9019,1,1,Bloomfield
06010,0900308490,60448,26996,1,0.9994,Bristol
06013,0900308490,25,12,0.0034999999999999996,4e-4,Bristol
06013,0900310100,9301,3389,0.9965,1,Burlington
06016,0900324800,6226,2682,1,0.5316,East Windsor
06018,0900510940,207,157,0.1094,0.20149999999999998,Canaan
06018,0900554030,2658,1278,0.8906000000000001,0.8053,North Canaan
06019,0900312270,10129,4272,1,0.9845999999999999,Canton
06020,0900312270,0,0,0,0,Canton
06021,0900516050,314,158,1,0.2188,Colebrook
06022,0900312270,163,67,1,0.0154,Canton
06023,0900304300,1296,517,1,0.0635,Berlin
06024,0900554030,647,305,1,0.19219999999999998,North Canaan
06026,0900322070,5117,2138,1,0.9934999999999999,East Granby
06027,0900337140,1492,574,1,0.6706,Hartland
06029,0901325360,15547,6644,1,0.9968,Ellington
06031,0900510940,1027,622,0.7873,0.7985,Canaan
06031,0900517240,64,28,0.0354,0.0278,Cornwall
06031,0900532290,7,4,0.0051,0.0024,Goshen
06031,0900566420,189,136,0.1722,0.0524,Salisbury
06032,0900327600,17675,7867,1,0.7084,Farmington
06033,0900331240,28762,11529,1,0.8442000000000001,Glastonbury
06035,0900322070,31,14,0.0046,0.006500000000000001,East Granby
06035,0900332640,7482,3004,0.9954000000000001,0.6890000000000001,Granby
06037,0900304300,18565,7620,1,0.9361,Berlin
06039,0900566420,1942,1287,1,0.4963,Salisbury
06040,0900344700,35306,15450,1,0.5943,Manchester
06042,0900322630,3,1,1e-4,0,East Hartford
06042,0900344700,22935,10546,0.9997,0.4057,Manchester
06042,0900371390,4,2,2e-4,2e-4,South Windsor
06043,0901301080,6,3,0.0015,0.0023,Andover
06043,0901306260,4980,2015,0.9984999999999999,1,Bolton
06051,0900350440,30519,13318,1,0.4265,New Britain
06052,0900304300,5,3,9e-4,4e-4,Berlin
06052,0900350440,7853,3466,0.9991,0.111,New Britain
06053,0900327600,24,9,6e-4,8e-4,Farmington
06053,0900350440,34834,14442,0.9992,0.4625,New Britain
06053,0900360120,5,3,2e-4,4e-4,Plainville
06057,0900551350,6707,2784,1,0.9523999999999999,New Hartford
06058,0900516050,11,6,0.006,0.0083,Colebrook
06058,0900532290,67,34,0.0338,0.0204,Goshen
06058,0900553470,1709,967,0.9603,1,Norfolk
06059,0900502760,0,0,0,0,Barkhamsted
06060,0900332640,2568,896,0.9933,0.20550000000000002,Granby
06060,0900337140,13,6,0.0067,0.006999999999999999,Hartland
06061,0900551350,169,75,1,0.025699999999999997,New Hartford
06062,0900308490,4,3,4e-4,1e-4,Bristol
06062,0900360120,17711,8060,0.9995999999999999,0.9995999999999999,Plainville
06063,0900502760,3285,1381,1,0.8691,Barkhamsted
06065,0900337140,469,182,0.52,0.2126,Hartland
06065,0900502760,413,168,0.48,0.1057,Barkhamsted
06066,0901325360,40,15,0.0011,0.0023,Ellington
06066,0901378250,29179,13896,0.9989,1,Vernon
06067,0900365370,19709,8843,1,1,Rocky Hill
06068,0900554030,10,4,0.0034000000000000002,0.0025,North Canaan
06068,0900566420,1602,1163,0.9965999999999999,0.4485,Salisbury
06069,0900567960,2535,1588,1,0.8946,Sharon
06070,0900368940,15104,5792,1,0.6349,Simsbury
06071,0901369220,11444,3479,0.9951000000000001,1,Somers
06071,0901372090,201,17,0.0049,0.0033,Stafford
06073,0900331240,5651,2122,1,0.15539999999999998,Glastonbury
06074,0900371390,25705,10241,1,0.9998,South Windsor
06076,0901372090,11886,5107,0.9336,0.9967,Stafford
06076,0901377830,773,363,0.0664,0.9356,Union
06078,0900374540,12413,4089,1,0.7476999999999999,Suffield
06081,0900368940,1381,674,1,0.0739,Simsbury
06082,0900325990,44654,17558,1,1,Enfield
06084,0901325360,15,6,0.0011,9e-4,Ellington
06084,0901376290,15052,5451,0.9989,1,Tolland
06085,0900302060,17,5,0.0017000000000000001,7.000000000000001e-4,Avon
06085,0900327600,7259,2982,0.9983,0.2685,Farmington
06088,0900324800,4936,2363,1,0.46840000000000004,East Windsor
06089,0900368940,2813,1185,1,0.12990000000000002,Simsbury
06090,0900332640,1232,460,1,0.10550000000000001,Granby
06091,0900337140,140,94,1,0.10980000000000001,Hartland
06092,0900368940,4203,1468,1,0.1609,Simsbury
06093,0900374540,3322,1380,1,0.2523,Suffield
06095,0900305910,0,0,0,0,Bloomfield
06095,0900322070,0,0,0,0,East Granby
06095,0900337070,35,14,0.0012,3e-4,Hartford
06095,0900387000,29044,11767,0.9987999999999999,1,Windsor
06095,0900387070,0,0,0,0,Windsor Locks
06096,0900322070,0,0,0,0,East Granby
06096,0900387070,12498,5429,1,1,Windsor Locks
06098,0900502760,101,40,0.006500000000000001,0.0252,Barkhamsted
06098,0900516050,1160,558,0.0902,0.7729,Colebrook
06098,0900551350,94,64,0.0103,0.0219,New Hartford
06098,0900586440,11071,5524,0.893,0.9841,Winchester
06103,0900337070,1410,1168,1,0.0225,Hartford
06105,0900337070,18801,10861,0.9716,0.2096,Hartford
06105,0900382590,591,318,0.028399999999999998,0.012,West Hartford
06106,0900337070,39902,15404,1,0.29719999999999996,Hartford
06107,0900327600,88,39,0.005,0.0034999999999999996,Farmington
06107,0900382590,18698,7807,0.995,0.2958,West Hartford
06108,0900322630,24307,9845,1,0.46159999999999995,East Hartford
06109,0900384900,26668,11677,1,1,Wethersfield
06110,0900337070,74,28,0.0053,5e-4,Hartford
06110,0900382590,12576,5236,0.9947,0.1984,West Hartford
06111,0900352140,30562,13011,1,1,Newington
06112,0900337070,22879,9057,1,0.1748,Hartford
06114,0900337070,27449,10397,1,0.2006,Hartford
06117,0900337070,1338,0,0,0,Hartford
06117,0900382590,15929,5968,1,0.2261,West Hartford
06118,0900322630,26942,11482,0.9995999999999999,0.5384,East Hartford
06118,0900331240,14,5,4e-4,4e-4,Glastonbury
06119,0900382590,15474,7067,1,0.2677,West Hartford
06120,0900337070,12887,4893,1,0.0944,Hartford
06160,0900337070,0,0,0,0,Hartford
06226,0901344910,445,229,0.031200000000000002,0.0381,Mansfield
06226,0901586790,19669,7111,0.9688,0.7431,Windham
06231,0901337910,4083,1562,1,0.4379,Hebron
06232,0901301080,3297,1314,1,0.9976999999999999,Andover
06234,0901509190,8210,3235,0.9963,1,Brooklyn
06234,0901561030,34,12,0.0037,0.0070999999999999995,Pomfret
06235,0901513810,2257,965,1,0.9767,Chaplin
06237,0901316400,5485,2308,0.9987,1,Columbia
06237,0901317800,7,3,0.0013,6e-4,Coventry
06238,0901317800,12428,5096,1,0.9994,Coventry
06239,0901540500,10315,4486,0.9312999999999999,0.5909,Killingly
06239,0901559980,868,331,0.0687,0.053099999999999994,Plainfield
06241,0901540500,6650,2929,1,0.3858,Killingly
06242,0901377830,81,25,0.0394,0.0644,Union
06242,0901521860,1327,610,0.9606,0.7692,Eastford
06243,0901540500,60,27,1,0.0036,Killingly
06247,0901536000,1863,793,0.6848000000000001,1,Hampton
06247,0901567400,978,365,0.3152,0.5367999999999999,Scotland
06248,0901337910,5603,2005,1,0.5621,Hebron
06249,0901142390,7308,3125,1,1,Lebanon
06250,0901344910,4773,1985,0.9884999999999999,0.3299,Mansfield
06250,0901513810,48,23,0.0115,0.0233,Chaplin
06254,0901129910,1922,771,1,1,Franklin
06255,0901575870,4744,2060,1,0.4939,Thompson
06256,0901586790,2154,1023,1,0.1069,Windham
06259,0901521860,285,110,0.0617,0.1387,Eastford
06259,0901561030,4213,1672,0.9383,0.9929000000000001,Pomfret
06260,0901562710,9510,4271,1,0.9934999999999999,Putnam
06262,0901575870,586,288,1,0.069,Thompson
06263,0901540500,345,150,1,0.019799999999999998,Killingly
06264,0901567400,166,74,1,0.10880000000000001,Scotland
06266,0901586790,495,207,1,0.0216,Windham
06268,0901344910,11481,3776,1,0.6275999999999999,Mansfield
06269,0901344910,9844,27,1,0.0045000000000000005,Mansfield
06277,0901562710,74,28,0.015300000000000001,0.006500000000000001,Putnam
06277,0901575870,4066,1798,0.9847,0.4311,Thompson
06278,0901501430,4317,1903,0.9631000000000001,1,Ashford
06278,0901521860,137,73,0.0369,0.09210000000000002,Eastford
06279,0901385950,6041,2637,1,1,Willington
